diff_ip_num,port_entropy,all_pkt_num,ack_num,ack_rate,syn_num,syn_rate,psh_num,psh_rate,all_pkt_bytes,avg_pkt_bytes,one_quarter,two_quarter,three_quarter
2,92.30169903639559,25,13,0.52,14,0.56,9,0.36,3841,153.64,74.0,74.0,297.0
2,107.90442736418191,43,29,0.6744186046511628,19,0.4418604651162791,15,0.3488372093023256,6455,150.11627906976744,74.0,74.0,297.0
2,119.28842031675282,33,18,0.5454545454545454,17,0.5151515151515151,14,0.42424242424242425,5548,168.12121212121212,74.0,74.0,297.0
2,184.01398665684624,40,24,0.6,18,0.45,20,0.5,7404,185.1,74.0,185.5,297.0
2,124.43988019037988,28,16,0.5714285714285714,13,0.4642857142857143,14,0.5,5296,189.14285714285714,74.0,185.5,297.0
2,88.88781511236404,20,10,0.5,11,0.55,8,0.4,3366,168.3,74.0,74.0,297.0
2,84.44401530258823,22,9,0.4090909090909091,15,0.6818181818181818,5,0.22727272727272727,2782,126.45454545454545,74.0,74.0,74.0
2,98.94411884916772,27,13,0.48148148148148145,16,0.5925925925925926,9,0.3333333333333333,4044,149.77777777777777,74.0,74.0,297.0
2,140.43434384484075,36,21,0.5833333333333334,19,0.5277777777777778,13,0.3611111111111111,5531,153.63888888888889,74.0,74.0,297.0
2,110.68686626793452,26,17,0.6538461538461539,10,0.38461538461538464,15,0.5769230769230769,5261,202.34615384615384,74.0,297.0,297.0
2,133.78282665826197,34,21,0.6176470588235294,15,0.4411764705882353,14,0.4117647058823529,5598,164.64705882352942,74.0,74.0,297.0
2,125.04470250777887,30,18,0.6,13,0.43333333333333335,12,0.4,4911,163.7,74.0,74.0,297.0
2,112.51576371277673,29,16,0.5517241379310345,15,0.5172413793103449,10,0.3448275862068966,4344,149.79310344827587,74.0,74.0,297.0
2,147.58821923384943,35,21,0.6,16,0.45714285714285713,15,0.42857142857142855,5903,168.65714285714284,74.0,74.0,297.0
2,117.53070945054549,27,18,0.6666666666666666,10,0.37037037037037035,15,0.5555555555555556,5327,197.2962962962963,74.0,297.0,297.0
2,119.40084631800414,30,18,0.6,14,0.4666666666666667,14,0.4666666666666667,5326,177.53333333333333,74.0,74.0,297.0
2,131.41163479304683,29,15,0.5172413793103449,15,0.5172413793103449,12,0.41379310344827586,4806,165.72413793103448,74.0,74.0,297.0
2,105.69588732931973,28,17,0.6071428571428571,13,0.4642857142857143,12,0.42857142857142855,4779,170.67857142857142,74.0,74.0,297.0
2,126.33281443611129,33,18,0.5454545454545454,18,0.5454545454545454,12,0.36363636363636365,5094,154.36363636363637,74.0,74.0,297.0
2,105.58706512678711,30,20,0.6666666666666666,13,0.43333333333333335,14,0.4666666666666667,5318,177.26666666666668,74.0,74.0,297.0
2,124.43988019037988,28,16,0.5714285714285714,13,0.4642857142857143,14,0.5,5186,185.21428571428572,74.0,185.5,297.0
2,437.3055000412826,109,97,0.8899082568807339,13,0.11926605504587157,53,0.48623853211009177,10175,93.34862385321101,66.0,74.0,74.0
2,126.34846263873655,31,20,0.6451612903225806,13,0.41935483870967744,16,0.5161290322580645,5846,188.58064516129033,74.0,297.0,297.0
